id,name,structure,parent_id,brand,dimension,installation_type,material,package_content,warranty
5862,Table Top Wash Basin - Linea,standalone,,SONET,410x410x110 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5861,Table Top Wash Basin - Light Weight-162,standalone,,SONET,415x340x170 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5860,Table Top Wash Basin - Light Weight-161,standalone,,SONET,415x340x170 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5859,Table Top Wash Basin - Prius,standalone,,SONET,440x440x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5858,Table Top Wash Basin - Torus-5013,standalone,,SONET,415x340x170 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5857,Table Top Wash Basin - Torus-5010,standalone,,SONET,415x340x170 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5856,Table Top Wash Basin - Torus-5003,standalone,,SONET,415x340x170 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5855,Table Top Wash Basin - Torus-5001,standalone,,SONET,415x340x170 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5854,Table Top Wash Basin - Torus-Metalic,standalone,,SONET,415x340x170 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5853,Table Top Wash Basin - Torus,standalone,,SONET,415x340x170 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5852,Table Top Wash Basin - Prima-003,standalone,,SONET,360x360x125 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5851,Table Top Wash Basin - Prima-002,standalone,,SONET,360x360x125 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5850,Table Top Wash Basin - Prima,standalone,,SONET,360x360x125 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5849,Table Top Wash Basin - Eon,standalone,,SONET,420x420x160 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5848,Table Top Wash Basin - Limca-19004,standalone,,SONET,470x390x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5847,Table Top Wash Basin - Limca-19003,standalone,,SONET,470x390x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5846,Table Top Wash Basin - Limca,standalone,,SONET,470x390x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5845,Table Top Wash Basin - Camroon,standalone,,SONET,530x380x120 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5844,Table Top Wash Basin - Silk,standalone,,SONET,355x355x110 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5843,Table Top Wash Basin - Vento-127,standalone,,SONET,405x405x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5842,Table Top Wash Basin - Vento-126,standalone,,SONET,405x405x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5841,Table Top Wash Basin - Vento-125,standalone,,SONET,405x405x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5840,Table Top Wash Basin - Vento-124,standalone,,SONET,405x405x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5839,Table Top Wash Basin - Vento-122,standalone,,SONET,405x405x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5838,Table Top Wash Basin - Vento-121,standalone,,SONET,405x405x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5837,Table Top Wash Basin - Vento,standalone,,SONET,405x405x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5836,Table Top Wash Basin - Beetle,standalone,,SONET,590x410x120 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7YEARS
5835,Table Top Wash Basin - Boxer,standalone,,SONET,385x385x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5834,Table Top Wash Basin - Apollo,standalone,,SONET,595x405x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5833,Table Top Wash Basin - Mondeo,standalone,,SONET,550x420x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5832,Table Top Wash Basin - Angel-8002,standalone,,SONET,610x340x135 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5831,Table Top Wash Basin - Angel-8001,standalone,,SONET,610x340x135 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5830,Table Top Wash Basin - Angel,standalone,,SONET,610x340x135 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5829,Table Top Wash Basin - Ozone (Premium),standalone,,SONET,620x440x95 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5828,Table Top Wash Basin - Ozone,standalone,,SONET,620x440x95 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5827,Table Top Wash Basin - New Torus-10047,standalone,,SONET,510x340x180 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5826,Table Top Wash Basin - New Torus-10045,standalone,,SONET,510x340x180 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5825,Table Top Wash Basin - New Torus-10044,standalone,,SONET,510x340x180 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
