Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
MS Rack Bolt with Metal Cap - 3025,7077,simple,PLATO3025,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,408,480,Bathroom > Accessories > Allied,,,https://i.postimg.cc/5NyXKx3X/3025.jpg,,,,,,,,,,Material,Mild Steel,1,0,Size,15mmx150 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
MS Rack Bolt with Cap - 3028,7078,simple,PLATO3028,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,434,510,Bathroom > Accessories > Allied,,,https://i.postimg.cc/ht7fgpNg/3028.jpg,,,,,,,,,,Material,Mild Steel,1,0,Size,15mmx225 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
MS Rack Bolt with Metal Cap - 3029,7079,simple,PLATO3029,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,485,570,Bathroom > Accessories > Allied,,,https://i.postimg.cc/wBpTzHhc/3029.jpg,,,,,,,,,,Material,Mild Steel,1,0,Size,15mmx225 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Rack Bolt with Cap - 3021,7080,simple,PLATO3021,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,510,600,Bathroom > Accessories > Allied,,,https://i.postimg.cc/JzbMPg9y/3021.jpg,,,,,,,,,,Material,Stainless Steel,1,0,Size,15mmx150 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Rack Bolt with Metal Cap - 3022,7081,simple,PLATO3022,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,561,660,Bathroom > Accessories > Allied,,,https://i.postimg.cc/qMKTvSBm/3022.jpg,,,,,,,,,,Material,Stainless Steel,1,0,Size,15mmx150 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Rack Bolt with Cap - 3026,7082,simple,PLATO3026,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,587,690,Bathroom > Accessories > Allied,,,https://i.postimg.cc/xjzfXcty/3026.jpg,,,,,,,,,,Material,Stainless Steel,1,0,Size,15mmx225 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Rack Bolt with Metal Cap - 3027,7083,simple,PLATO3027,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,638,750,Bathroom > Accessories > Allied,,,https://i.postimg.cc/CLCw49yR/3027.jpg,,,,,,,,,,Material,Stainless Steel,1,0,Size,15mmx225 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Brass Screw for EWC with Show Flange-Pair- 3041,7084,simple,PLATO3041,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,56,66,Bathroom > Accessories > Allied,,,https://i.postimg.cc/9QJV6TQV/3041.jpg,,,,,,,,,,Material,Brass,1,0,Size,75 mm,1,0,,Package Content,"Nut, Bolt, Washer, Wrench, Plastic Plug.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Extension Nipple Without Flange - 4001,7085,simple,PLATO4001,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,59,69,Bathroom > Accessories > Allied,,,https://i.postimg.cc/HLnHdxrM/4001.jpg,,,,,,,,,,Material,Brass,1,0,Size,25 mm,1,0,,Package Content,Extension Nipple Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Extension Nipple Without Flange - 4002,7086,simple,PLATO4002,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,77,90,Bathroom > Accessories > Allied,,,https://i.postimg.cc/d1TYZxmt/4002.jpg,,,,,,,,,,Material,Brass,1,0,Size,40 mm,1,0,,Package Content,Extension Nipple Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Extension Nipple Without Flange - 4003,7087,simple,PLATO4003,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,97,114,Bathroom > Accessories > Allied,,,https://i.postimg.cc/nrbt4G0K/4003.jpg,,,,,,,,,,Material,Brass,1,0,Size,50 mm,1,0,,Package Content,Extension Nipple Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Extension Nipple Without Flange - 4004,7088,simple,PLATO4004,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,122,144,Bathroom > Accessories > Allied,,,https://i.postimg.cc/xTQ2qgkn/4004.jpg,,,,,,,,,,Material,Brass,1,0,Size,65 mm,1,0,,Package Content,Extension Nipple Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Extension Nipple Without Flange - 4005,7089,simple,PLATO4005,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,148,174,Bathroom > Accessories > Allied,,,https://i.postimg.cc/gcV99Rg5/4005.jpg,,,,,,,,,,Material,Brass,1,0,Size,75 mm,1,0,,Package Content,Extension Nipple Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
