Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
One Piece Closet - Swim,2013,simple,OPCSWIM,1,0,visible,,,,,taxable,,1,,,0,0,,655,355,735,1,,8840,10400,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/66cJZ3pd/swim-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,225 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Piece Closet - Victoria,2014,simple,OPCVCTORIA,1,0,visible,,,,,taxable,,1,,,0,0,,685,365,675,1,,7140,8400,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/wTBKQp1n/vectoria-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,225 & 290 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Sanitee,2015,simple,WHCSANITI,1,0,visible,,,,,taxable,,1,,,0,0,,510,360,360,1,,4675,5500,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/289sHKvy/Sanitee-Rimless-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Riverstoe,2016,simple,WHCRVRSTOE,1,0,visible,,,,,taxable,,1,,,0,0,,505,365,360,1,,5185,6100,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/CxZW9sHN/Riverstone-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Enigma,2017,simple,WHCENGMA,1,0,visible,,,,,taxable,,1,,,0,0,,520,375,385,1,,4208,4950,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/YCJJ7Ldw/Enigma-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Amazone,2018,simple,WHCAMZON,1,0,visible,,,,,taxable,,1,,,0,0,,545,360,370,1,,4229,4975,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/W3VCFLRW/Amazone-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Beetle,2019,simple,WHCBTLE,1,0,visible,,,,,taxable,,1,,,0,0,,535,345,360,1,,4165,4900,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/QCxzmQdc/Beetle-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Beetle Mini,2020,simple,WHCBTLEMINI,1,0,visible,,,,,taxable,,1,,,0,0,,500,350,360,1,,4165,4900,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/G3qV25XK/beetlemini-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Mini,2021,simple,WHCMINI,1,0,visible,,,,,taxable,,1,,,0,0,,480,360,330,1,,8075,9500,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/zGRcxX82/Mini-Wall-hung-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Santec,2022,simple,WHCSANTEC,1,0,visible,,,,,taxable,,1,,,0,0,,520,370,330,1,,6630,7800,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/4dX246tj/Santec-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Sanctum,2023,simple,WHCSANCTUM,1,0,visible,,,,,taxable,,1,,,0,0,,515,365,365,1,,5695,6700,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/8c5yMTZH/Sanctum-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Stilo,2024,simple,WHCSTILO,1,0,visible,,,,,taxable,,1,,,0,0,,550,375,350,1,,10583,12450,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/Gt5Xj6N1/Stilo-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Revo,2025,simple,WHCREVO,1,0,visible,,,,,taxable,,1,,,0,0,,560,360,355,,,7480,8800,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/kXLjR3KQ/Revo-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Mini Forsquare,2026,simple,WHCMNI4SQR,1,0,visible,,,,,taxable,,1,,,0,0,,510,370,350,,,5865,6900,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/7LkmX3Bb/mini-forsquare-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Spirit,2027,simple,WHCSPIRT,1,0,visible,,,,,taxable,,1,,,0,0,,555,350,390,,,9010,10600,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/sXfKCVCr/Spirit-Green-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Wall Hung Closet - Selge,2028,simple,WHCSELGE,1,0,visible,,,,,taxable,,1,,,0,0,,490,350,355,,,8160,9600,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/qM6wTbSz/Selge-Rimless-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
