ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
4044,simple,4333,Forma Wall Mixer with Provision for Overhead Shower with 115mm Long Bend Pipe & Wall Flange (High Flow) - 4333,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,4590,5400,Taps & Mixers,,,https://i.postimg.cc/nhHCvWr8/4333.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Wall Mixer,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4045,simple,4798,Forma Swan Neck Extended Spout -4798,1,0,visible,,,,,taxable,,1,11,,0,0,,,,,1,,1658,1950,Taps & Mixers,,,https://i.postimg.cc/63cBhHNZ/4798.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4046,simple,4801,Forma Swan Neck with Extended Elbow Spout - 4801,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,1870,2200,Taps & Mixers,,,https://i.postimg.cc/448J7FPk/4801.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4047,simple,4793,Forma Swan Neck with Revolving Spout (Table Mounted) - 4793,1,0,visible,,,,,taxable,,1,18,,0,0,,,,,1,,1488,1750,Taps & Mixers,,,https://i.postimg.cc/x87DshpX/4793.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4048,simple,4535,Forma Sink Cock Extended Spout - 4535,1,0,visible,,,,,taxable,,1,37,,0,0,,,,,1,,1573,1850,Kitchen > Kitchen Mixers,,,https://i.postimg.cc/CxbTNvGK/4535.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4049,simple,5027,Liva Pillar Cock with Extra Long Spout - 5027,1,0,visible,,,,,taxable,,1,2,,0,0,,,,,1,,1734,2040,Taps & Mixers,,,https://i.postimg.cc/hGKw0K4C/5027.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Pillar Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4050,simple,5011,Liva  Liva Pillar Cock with Aerator - 5011,1,0,visible,,,,,taxable,,1,18,,0,0,,,,,1,,829,975,Taps & Mixers,,,https://i.postimg.cc/6QzPjFyB/5011.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Pillar Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4051,simple,5103,Liva Angular Stop Cock with Long Thread - 5103,1,0,visible,,,,,taxable,,1,33,,0,0,,,,,1,,582,685,Bathroom > Accessories > Angle Cock,,,https://i.postimg.cc/633mDzvn/5103.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Stop Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4052,simple,5058,Liva Long Body Bib Cock with Aerator - 5058,1,0,visible,,,,,taxable,,1,25,,0,0,,,,,1,,829,975,Taps & Mixers,,,https://i.postimg.cc/wxt6NQG1/5058.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Bib Cock (Long Body),1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4053,simple,5043,Liva Bib Cock with Aerator - 5043,1,0,visible,,,,,taxable,,1,35,,0,0,,,,,1,,616,725,Taps & Mixers,,,https://i.postimg.cc/HkmHfDsM/5043.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Bib Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4054,simple,5152,Concealed Stop Cock with Adjustable Flange 20mm - 5152,1,0,visible,,,,,taxable,,1,22,,0,0,,,,,1,,1012,1190,Taps & Mixers,,,https://i.postimg.cc/NfqwHqXn/5152.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Concealed Stop Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4055,simple,26793,Opal Swan Neck - 26793,1,0,visible,,,,,taxable,,1,17,,0,0,,,,,1,,1148,1350,Taps & Mixers,,,https://i.postimg.cc/T3Q8FKs8/26793.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4056,simple,18318,Azzaro Wall Mixer with Telephonic Shower Crutch (High Flow) - 18318,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,3910,4600,Taps & Mixers,,,https://i.postimg.cc/RVVLGqwJ/18318-18333.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Wall Mixer,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
